signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,14.2805,open,-8.97,-11.47,08:30,강한매수
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,13.87,open,-6.27,-8.77,09:00,중립
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.2995,open,-0.35,-2.85,05:30,정보부족
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.39,open,-6.83,-9.33,06:00,중립
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.405,open,-7.83,-10.33,06:30,중립
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.4,open,-7.5,-10.0,07:00,매도주의
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.34,open,-3.36,-5.86,07:30,매도주의
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.3102,open,-1.16,-3.66,08:00,중립
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.33,open,-2.63,-5.13,08:30,강한매수
2026-05-26,2026-05-27,NCPL,41.1,강한매수,전고점돌파,21.4,1.355,open,-4.43,-6.93,09:00,매수관심
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.05,open,4.39,1.89,05:30,정보부족
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.1,open,1.9,-0.6,06:00,중립
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.1,open,1.9,-0.6,06:30,중립
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.1,open,1.9,-0.6,07:00,중립
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.14,open,0.0,-2.5,07:30,매수관심
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.1499,open,-0.46,-2.96,08:00,매수관심
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.14,open,0.0,-2.5,08:30,매도주의
2026-05-26,2026-05-27,NGEN,40.2,중립,잔구간,-3.8,2.1399,open,0.0,-2.5,09:00,매도주의
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,19.7461,open,-1.47,-3.97,05:30,정보부족
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,20.34,open,-4.35,-6.85,06:00,중립
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,20.38,open,-4.54,-7.04,06:30,매수관심
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,20.92,open,-7.0,-9.5,07:00,매수관심
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,22.745,open,-14.46,-16.96,07:30,매수관심
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,22.35,open,-12.95,-15.45,08:00,매도주의
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,21.34,open,-8.83,-11.33,08:30,중립
2026-05-26,2026-05-27,MNTS,32.4,강한매수,전고점돌파,27.6,19.47,open,-0.08,-2.58,09:00,중립
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.4001,open,-1.25,-3.75,05:30,정보부족
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.3908,open,1.1,-1.4,06:00,매도주의
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.3925,open,0.66,-1.84,06:30,중립
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.3845,open,2.76,0.26,07:00,매도주의
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.3871,open,2.07,-0.43,07:30,매수관심
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.3777,open,4.61,2.11,08:00,중립
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.387,open,2.09,-0.41,08:30,중립
2026-05-27,2026-05-28,BRTX,345.6,중립,전고점돌파,-7.6,0.3934,open,0.43,-2.07,09:00,중립
