code,name,market,ratio,last_close,day_chg_%,latest_vol,baseline_vol,trade_value_억
034220,LG디스플레이,KOSPI,1.6,10270.0,3.3,4132925,2643846,424.5
439960,코스모로보틱스,KOSDAQ,1.6,16770.0,1.5,5083721,3273235,852.5
189860,서전기전,KOSDAQ,1.6,4720.0,-3.5,146631,90295,6.9
130660,한전산업,KOSPI,1.6,11980.0,0.7,148755,93981,17.8
064260,다날,KOSDAQ,1.6,5060.0,0.8,3545338,2226536,179.4
012200,계양전기,KOSPI,1.6,4335.0,1.5,352047,213538,15.3
000400,롯데손해보험,KOSPI,1.6,2045.0,3.1,470359,286251,9.6
489790,한화비전,KOSPI,1.6,53300.0,-1.7,323767,202801,172.6
232140,와이씨,KOSDAQ,1.6,11100.0,2.5,931828,578610,103.4
089470,HDC현대EP,KOSPI,1.5,4040.0,4.1,160125,107300,6.5
088980,맥쿼리인프라,KOSPI,1.5,9690.0,0.8,1880915,1213526,182.3
062970,한국첨단소재,KOSDAQ,1.5,2595.0,-9.4,2103911,1390127,54.6
117730,티로보틱스,KOSDAQ,1.5,14940.0,1.8,166393,108646,24.9
445680,큐리옥스바이오시스템즈,KOSDAQ,1.5,50600.0,29.9,176254,113821,89.2
178320,서진시스템,KOSDAQ,1.5,36950.0,0.0,1248123,856156,461.2
179900,유티아이,KOSDAQ,1.5,2775.0,30.0,1276312,847310,35.4
353200,대덕전자,KOSPI,1.5,119100.0,5.4,1043141,687533,1242.4
114190,강원에너지,KOSDAQ,1.5,9770.0,-3.2,226669,155029,22.1
019010,베뉴지,KOSDAQ,1.5,4275.0,6.1,247640,168602,10.6
119830,아이텍,KOSDAQ,1.5,6800.0,0.0,244797,166449,16.6
059120,아진엑스텍,KOSDAQ,1.5,7570.0,1.7,2526015,1677312,191.2
013700,까뮤이앤씨,KOSPI,1.5,1759.0,-4.9,694964,461462,12.2
078930,GS,KOSPI,1.5,117000.0,8.9,805628,531141,942.6
204320,HL만도,KOSPI,1.5,57100.0,2.9,764584,522424,436.6
014910,성문전자,KOSPI,1.5,2025.0,5.2,363173,249540,7.4
007980,TP,KOSPI,1.5,1904.0,1.4,326399,223090,6.2
