ticker,date,ratio,prior7_%,fwd_oc_%,fwd_cc_%,fwd_oc_net_%
HCAT,2026-06-04,52.4,54.0,-1.0,-0.5,-3.5
HCHL,2026-05-13,12.1,46.7,-3.1,0.6,-5.6
HCTI,2026-05-14,45.4,-0.4,0.0,-4.8,-2.5
HCWB,2026-05-14,124.3,-17.7,9.9,262.0,7.4
HCWB,2026-05-15,1396.7,248.1,16.5,9.8,14.0
HCWB,2026-05-18,131.8,318.4,-14.5,-20.9,-17.0
HCWC,2026-05-29,288.7,25.8,-10.9,10.4,-13.4
HCWC,2026-06-01,285.4,39.2,13.4,-5.9,10.9
HCWC,2026-06-02,32.3,30.0,-4.2,-8.4,-6.7
HITI,2026-06-15,15.6,-5.5,-2.7,12.0,-5.2
HKIT,2026-05-13,90.4,-17.6,26.8,24.7,24.3
HKIT,2026-05-14,12.1,18.0,-4.5,-21.3,-7.0
HKIT,2026-05-29,16.2,-27.8,105.9,350.7,103.4
HKIT,2026-06-01,1148.9,213.3,-62.9,-90.6,-65.4
HKIT,2026-06-02,220.1,-68.9,-10.1,-27.4,-12.6
HKIT,2026-06-03,32.0,-77.6,-20.3,-26.7,-22.8
HLP,2026-05-13,12.2,39.7,-3.7,-11.2,-6.2
HLP,2026-05-14,38.5,15.1,2.0,0.0,-0.5
HLP,2026-06-12,245.8,-10.4,11.4,6.2,8.9
HLP,2026-06-15,245.3,1.4,-6.0,-9.5,-8.5
HOTH,2026-05-19,47.8,-10.5,0.2,-0.0,-2.3
HPAI,2026-05-11,343.3,-10.6,7.2,5.5,4.7
HPAI,2026-05-12,25.2,-9.5,9.2,6.0,6.7
HPAI,2026-06-09,134.2,-9.3,1.1,-4.6,-1.4
HQ,2026-06-15,36.0,49.6,7.1,4.9,4.6
HRTX,2026-06-02,13.1,-48.3,-6.4,-0.7,-8.9
HTCO,2026-05-27,10.1,-51.3,-7.9,1.6,-10.4
HTCO,2026-05-29,10.9,-55.8,-5.9,-2.7,-8.4
HTT,2026-05-26,18.2,35.6,0.0,0.0,-2.5
HUBC,2026-05-13,20.1,-70.6,13.8,2.0,11.3
HUBC,2026-05-15,40.8,-58.3,-13.8,-6.7,-16.3
HUBC,2026-05-29,70.8,97.8,-2.6,97.2,-5.1
HUBC,2026-06-01,21.6,302.3,13.9,-6.8,11.4
HUBC,2026-06-15,16.5,-58.4,10.9,20.8,8.4
HXHX,2026-06-05,66.3,-8.3,-0.9,-11.6,-3.4
HXHX,2026-06-08,26.2,-14.7,8.8,27.9,6.3
HXHX,2026-06-09,99.4,1.6,49.4,73.3,46.9
HYEM,2026-06-10,10.5,-0.6,0.2,0.4,-2.3
HYFT,2026-05-20,22.7,20.5,-4.9,-3.1,-7.4
ICON,2026-06-11,57.6,-27.8,8.7,2.7,6.2
IDN,2026-05-13,10.9,-43.5,2.2,2.7,-0.3
ILLR,2026-06-08,34.4,18.2,-15.2,-32.4,-17.7
IMRX,2026-05-22,12.9,0.2,-2.4,-2.2,-4.9
IMXI,2026-05-13,18.6,-4.8,0.3,0.5,-2.2
INDP,2026-06-04,440.8,327.9,13.7,-22.9,11.2
INDP,2026-06-05,26.3,188.2,-40.3,-42.6,-42.8
INDP,2026-06-08,11.4,45.8,-23.9,-3.6,-26.4
INMB,2026-05-14,15.5,9.1,-6.6,-7.7,-9.1
IPWR,2026-05-27,11.9,46.9,-11.1,-10.8,-13.6
