sym,verdict,reason,signals,last_candle,from_low_%,near_base,name
046940.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,28.0,,우원개발
016880.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,15.0,,웅진
204270.KQ,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,13.0,,제이앤티씨
272450.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,16.0,,진에어
001780.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,5.0,,알루코
025820.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,8.0,,이구산업
041020.KQ,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,5.0,,폴라리스오피스
006220.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 꼬리군",-,32.0,,제주은행
086980.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,4.0,,쇼박스
003530.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,27.0,,한화투자증권
484590.KQ,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",-,42.0,,삼양컴텍
000680.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,9.0,,LS네트웍스
008350.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,22.0,,남선알미늄
123410.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,29.0,,코리아에프티
011280.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,도지,22.0,,태림포장
297090.KQ,✅ PASS,캔들신호 1종,양봉스프링,-,12.0,,씨에스베어링
199820.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,20.0,,제일일렉트릭
294630.KQ,✅ PASS,캔들신호 1종,꼬리군,-,31.0,,서남
388870.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,42.0,,파로스아이바이오
357580.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,36.0,,아모센스
017960.KS,✅ PASS,캔들신호 1종,양봉스프링,-,44.0,,한국카본
085670.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,8.0,,뉴프렉스
203400.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,10.0,,에이비온
020560.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,18.0,,아시아나항공
215600.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,4.0,,신라젠
004150.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,25.0,,한솔홀딩스
