ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
BNRG,2026-06-09,1.57,1.58,1.08,1.18,7962273.28263,1.35,1203792.2945,16.29629629629629,-24.840764331210195,1.6251195975750004
BSOL,2026-06-15,10.02,10.31,9.925,10.19,2715885.555869,9.05,3013182.716246,10.718232044198881,1.696606786427145,27.269303582026303
BTCL,2026-06-08,12.7,12.96,12.6,12.65,132873.58396,11.51,191792.697424,10.338835794960898,-0.39370078740156644,2.2075339473502402
BTCL,2026-06-15,13.94,14.1064,13.72,13.82,126529.681469,12.65,151248.892617,10.197628458498016,-0.8608321377331365,1.9132984916050502
BYAH,2026-06-15,1.96,1.9899,1.3703,1.48,12491205.74326,1.47,2247345.065492,33.33333333333333,-24.489795918367346,3.30359724627324
CBRG,2026-06-08,6.29,8.375,5.855,7.69,10608222.047867,5.64,3951303.849428,11.524822695035468,22.25755166931638,22.28535371077392
CBRX,2026-06-08,18.22,24.4424,17.3,22.6,211521.069065,16.55,90302.8865,10.090634441087602,24.039517014270047,1.494512771575
CCUP,2026-06-15,2.79,3.0587,2.7511,2.82,3874813.170871,2.47,4066979.845061,12.955465587044527,1.0752688172042941,10.045440217300671
CHA,2026-05-29,11.65,12.96,11.32,12.76,3866288.776827,10.16,527188.635581,14.665354330708663,9.527896995708149,5.35623653750296
CHRN,2026-06-09,20.98,22.3,18.65,18.79,554447.703195,18.89,329688.565411,11.064055055584966,-10.438512869399434,6.22781700061379
CIEG,2026-06-15,9.16,9.3,8.1801,8.76,1307485.969524,8.12,2026892.355826,12.807881773399027,-4.36681222707424,16.458365929307117
CIFG,2026-06-15,15.79,16.86,15.54,15.8122,107233.855992,14.1247,142519.814679,11.789984920033689,0.14059531348956017,2.0130496263964712
CNTN,2026-06-08,2.53,2.77,2.52,2.65,988188.09585,2.3,754961.553705,10.0,4.743083003952574,1.7364115735214998
CODX,2026-06-02,7.21,9.12,6.12,6.22,4721765.442763,6.2,6859609.207549,16.29032258064516,-13.73092926490985,42.529577086803805
COHH,2026-06-02,14.65,18.4999,14.44,18.09,486018.45654,13.28,166758.8743,10.316265060240971,23.481228668941974,2.214557850704
COHH,2026-06-08,15.49,16.6,13.96,15.65,316052.190668,13.98,309719.709197,10.801144492131614,1.0329244673983224,4.329881534574061
COHH,2026-06-15,15.5,16.535,14.75,16.19,280477.707027,14.06,290860.080937,10.241820768136552,4.451612903225815,4.08949273797422
CONL,2026-06-15,5.86,6.16,5.785,5.85,20215532.680049,5.21,19873246.74599,12.476007677543192,-0.17064846416383403,103.53961554660789
CRCG,2026-06-15,16.13,17.75,16.04,16.38,2705377.479285,14.32,1748198.679391,12.639664804469264,1.5499070055796653,25.03420508887912
CYPH,2026-06-08,0.6336,0.7949,0.628,0.7082,37856238.120189,0.5188,4821487.890113,22.12798766383963,11.773989898989898,2.5013879173906246
CYPH,2026-06-15,0.8,0.85,0.757101,0.8128,15727867.335731,0.6502,5522539.304335,23.03906490310674,1.5999999999999903,3.5907550556786174
DAMD,2026-06-04,2.1,2.2,1.97,2.04,19595159.205734,1.9,20601589.934002,10.526315789473696,-2.8571428571428594,39.1430208746038
DBGI,2026-06-02,0.9793,1.18,0.65,0.7001,40249764.108674,0.8389,5955022.62715,16.736202169507685,-28.510160318594917,4.995668481916135
DBGI,2026-06-11,1.41,1.47,0.7987,0.9729,14812449.993611,1.25,5682187.289532,12.799999999999995,-31.0,7.102734111915
DEVS,2026-06-03,0.7346,0.919,0.62,0.6651,59057556.147917,0.6017,51635081.706204,22.08741897955792,-9.460931118976314,31.06882866262295
DEVS,2026-06-05,0.685,0.69,0.515,0.5801,71759876.698178,0.457,59057556.147917,49.890590809628016,-15.3138686131387,26.98930315959807
EDHL,2026-06-12,8.46,11.13,7.2193,8.64,11417518.002755,5.98,789859.732201,41.47157190635452,2.1276595744680815,4.723361198561981
EDZ,2026-06-05,17.12,18.7069,17.02,18.55,520249.980904,15.46,196740.459895,10.73738680465718,8.352803738317755,3.0416075099767004
ELMT,2026-06-01,19.05,22.5,18.7541,18.95,5067930.490415,15.28,463218.5905755,24.672774869109958,-0.5249343832021072,7.077980063993639
