sym,date,entry,base,drop_peak_%,r20_%,r60_%,r120_%,r250_%,MFE_%,MAE_%,name
046970.KQ,2024-11-11,1190.0,베이스(완만),60.0,-7.1,22.5,21.4,2.9,48.7,-9.3,우리로
046970.KQ,2025-01-22,1673.0,베이스(완만),57.0,-18.1,-28.3,-23.8,-8.2,5.8,-35.5,우리로
046970.KQ,2025-04-25,1558.0,베이스(완만),59.0,-9.8,-20.8,-12.4,535.4,811.4,-22.3,우리로
046970.KQ,2025-06-24,1401.0,베이스(완만),54.0,-7.8,-7.2,-11.2,,913.6,-13.6,우리로
032820.KQ,2023-09-19,1514.0,베이스(완만),61.0,-11.3,-14.1,-2.7,42.3,102.4,-16.2,우리기술
032820.KQ,2024-05-13,1795.0,베이스(완만),55.0,31.5,15.3,29.8,33.7,70.8,-12.8,우리기술
018880.KS,2023-08-10,9544.9,베이스(완만),55.0,-6.9,-27.2,-33.1,-57.5,0.3,-60.2,한온시스템
024840.KQ,2023-11-14,1418.0,베이스(완만),59.0,3.0,-1.2,131.7,51.6,185.6,-9.0,KBI메탈
024840.KQ,2024-04-08,1574.0,베이스(완만),53.0,64.9,56.6,92.2,22.2,157.3,-2.4,KBI메탈
069540.KQ,2023-07-04,3425.0,베이스(완만),64.0,45.4,-14.2,-36.9,-6.6,69.9,-50.1,빛과전자
069540.KQ,2023-11-07,3650.0,베이스(완만),74.0,-16.8,-49.0,-1.2,-57.9,12.6,-66.5,빛과전자
069540.KQ,2024-03-04,2220.0,베이스(완만),82.0,0.7,60.6,-36.2,-58.8,76.1,-59.1,빛과전자
069540.KQ,2024-04-15,2800.0,베이스(완만),77.0,36.4,13.0,-49.4,-67.6,39.6,-71.8,빛과전자
069540.KQ,2025-01-22,1219.0,베이스(완만),90.0,-15.3,-25.0,10.4,18.1,50.2,-51.4,빛과전자
069540.KQ,2026-01-06,791.0,베이스(완만),93.0,90.8,324.1,,,783.7,7.3,빛과전자
023790.KQ,2025-08-06,1884.0,베이스(완만),88.0,76.1,98.9,30.7,,309.2,-44.1,동일스틸럭스
023790.KQ,2026-04-09,2250.0,베이스(완만),85.0,11.0,,,,24.8,-53.2,동일스틸럭스
126640.KQ,2025-01-07,1368.5,베이스(완만),58.0,-0.3,25.5,-10.1,2.3,28.6,-15.4,화신정공
013360.KS,2023-09-18,1904.0,베이스(완만),78.0,-13.8,-14.0,-34.9,-29.6,-1.0,-38.7,일성건설
013360.KS,2024-01-02,1548.0,베이스(완만),82.0,-15.3,-17.5,-19.3,179.7,217.8,-24.6,일성건설
013360.KS,2024-07-23,1663.0,베이스(완만),82.0,-8.3,-26.9,87.9,-8.7,195.9,-29.2,일성건설
013360.KS,2024-11-12,1752.0,베이스(완만),83.0,168.6,80.9,56.7,-28.4,180.8,-31.1,일성건설
013360.KS,2025-12-03,1449.0,베이스(완만),84.0,49.8,15.9,-11.9,,83.6,-19.9,일성건설
011700.KS,2024-05-27,5275.1,베이스(완만),67.0,-14.0,-30.9,-33.5,-38.0,8.2,-55.0,한신기계
011700.KS,2024-07-09,5038.0,베이스(완만),70.0,-32.5,-35.0,-43.8,-29.8,-0.8,-52.9,한신기계
011700.KS,2025-01-17,3452.1,베이스(완만),80.0,-1.7,-16.1,4.5,18.5,42.9,-31.2,한신기계
011700.KS,2026-01-20,4255.0,베이스(완만),78.0,28.6,4.2,,,28.6,-37.4,한신기계
215790.KQ,2023-11-17,1200.0,베이스(완만),64.0,-15.1,-13.9,-36.8,-62.0,0.0,-63.1,이노인스트루먼트
215790.KQ,2023-12-27,1157.0,베이스(완만),64.0,-11.8,-29.6,-52.9,-57.7,-2.2,-64.5,이노인스트루먼트
215790.KQ,2024-10-17,487.0,베이스(완만),81.0,-6.4,-3.7,-6.2,21.1,24.2,-15.6,이노인스트루먼트
215790.KQ,2025-10-16,553.0,베이스(완만),85.0,24.6,11.6,504.0,,684.8,-53.0,이노인스트루먼트
001440.KS,2024-01-24,9793.4,베이스(완만),80.0,-5.4,26.6,44.6,31.7,101.0,-9.7,대한전선
001440.KS,2025-03-14,13010.0,베이스(완만),71.0,-13.3,22.5,14.1,122.9,176.7,-22.4,대한전선
052900.KQ,2026-02-04,1415.0,베이스(완만),62.0,-14.9,-8.5,,,45.6,-25.8,KX하이텍
052900.KQ,2026-04-14,1271.0,베이스(완만),56.0,40.5,,,,62.1,-5.8,KX하이텍
011230.KS,2023-12-22,4725.0,베이스(완만),73.0,-1.8,-5.4,-26.3,-26.7,3.9,-47.3,삼화전자
026940.KS,2025-04-30,2636.1,베이스(완만),68.0,-15.0,-13.9,-19.5,-6.5,27.1,-28.3,부국철강
026940.KS,2026-04-09,2675.0,베이스(완만),74.0,-4.7,,,,25.2,-30.4,부국철강
306620.KQ,2024-01-11,2810.0,베이스(완만),59.0,-9.3,-3.9,-12.3,0.9,20.6,-39.5,지아이에스
306620.KQ,2024-09-10,2210.0,베이스(완만),74.0,-3.2,5.7,12.2,-5.0,41.6,-16.0,지아이에스
306620.KQ,2024-10-29,2765.0,베이스(완만),67.0,-9.6,-5.1,-15.4,-29.8,13.2,-32.9,지아이에스
018000.KQ,2024-03-06,1242.0,베이스(완만),87.0,-11.8,-35.9,-41.7,-35.7,-0.7,-55.0,유니슨
018000.KQ,2024-11-28,746.0,베이스(완만),93.0,-1.1,14.5,112.7,60.5,170.1,-12.2,유니슨
027360.KQ,2023-12-13,2586.5,베이스(완만),76.0,2.5,-3.1,26.5,-3.7,30.0,-29.0,아주IB투자
027360.KQ,2024-02-29,2650.0,베이스(완만),70.0,-8.5,4.9,-22.9,-20.6,26.9,-30.7,아주IB투자
027360.KQ,2024-06-07,3042.2,베이스(완만),69.0,-8.8,-32.7,0.5,-13.0,10.5,-39.6,아주IB투자
027360.KQ,2024-11-11,2009.0,베이스(완만),77.0,11.0,15.6,13.2,-4.9,62.6,-6.5,아주IB투자
027360.KQ,2025-04-21,2455.0,베이스(완만),74.0,-10.7,-3.0,-16.5,529.7,662.5,-23.1,아주IB투자
