ticker,date,ratio,dollar_surge_x,avg_dollar_vol_M,dollar_vol_M,intraday_chg_%,gap_%,close_pos,range_%,price,prior7_%,up_streak,fwd_oc_net_%
TLSI,2026-05-13,81.06286859477,,,18.129901819278928,-25.833333333333336,-21.05263157894736,0.3092105263157893,42.22222222222222,2.67,-40.0,0,-9.511070110701105
TLSI,2026-05-14,16.13997375510478,1.8603575004010813,2.191221275680928,4.07645493525144,-7.011070110701105,1.4981273408239715,0.25333333333333385,13.837638376383765,2.52,-45.33622559652929,0,5.564516129032265
TLSI,2026-05-15,18.17847032796053,2.3027287277111914,2.5380890721308718,5.844530619885601,8.064516129032265,-1.5873015873015885,0.8684210526315794,15.322580645161285,2.68,-41.098901098901095,1,10.983146067415728
TLYS,2026-06-03,13.89585784435957,12.26607779473441,0.758207222557402,9.3002287764186,0.0,-0.6711409395973011,0.17910447761194048,15.090090090090087,4.44,2.3041474654378113,0,-1.9274809160305466
TLYS,2026-06-04,12.360304405396967,9.501722048068915,1.59918019286227,15.19496569735453,0.5725190839694534,18.01801801801801,0.5389006806704234,26.074427480916047,5.27,17.63392857142856,1,-4.971482889733839
TMDE,2026-06-08,32.68493924588295,20.650892357199076,0.1519720687632262,3.13835883333024,12.570356472795508,6.599999999999991,0.4814519345831672,36.181267138115174,0.78,-3.8224414303329235,1,15.213320191495342
TMDE,2026-06-10,69.99712434931855,21.992439239737454,0.5702179794491798,12.540484266441949,2.3737203284958945,6.3277511961722555,0.5066818671226805,17.762402969962885,0.91,16.21966794380587,3,-2.5
TMDE,2026-06-11,24.629645945637158,11.893568461250995,1.817475677730395,21.616271399745003,0.0,18.681318681318686,0.17777777777777795,41.66666666666666,1.08,44.000000000000014,4,-5.941767514155648
TNMG,2026-05-29,22.229359519640887,14.770307588851134,0.12207808361395481,1.8031308448355998,-30.444444444444446,17.570215545395175,0.13333333333333325,63.33333333333334,0.626,4.263824117255166,0,-0.4233226837060684
TNMG,2026-06-12,54.56678714841017,11.491568471000836,0.2964501576689496,3.406677285091728,-10.489122904253843,1.1350896860986541,0.24316877152698047,60.34363308854095,0.646,9.957446808510628,0,-4.275891874901772
TOON,2026-06-08,47.894408267175336,33.133275799635626,0.3737288937168041,12.38286250981158,0.9278493283478798,-1.6748366013072016,0.4400000000000011,2.7696994876055974,0.7288,7.034806873255994,0,-9.025000000000002
